Model,Configuration,First_Success,Last_Success,LaTeX_Cell
gpt-oss:120b-cloud,Base,56.00000000000001,64.0,\makecell{56.0 $~/~$ 64.0}
gpt-oss:120b-cloud,+Cluster,64.0,80.0,\makecell{64.0 $~/~$ 80.0}
gpt-oss:120b-cloud,+Judge,84.0,96.0,\makecell{84.0 $~/~$ 96.0}
gpt-oss:120b-cloud,+Cluster+Judge,44.0,68.0,\makecell{44.0 $~/~$ 68.0}
qwen3-next:80b-cloud,Base,24.0,64.0,\makecell{24.0 $~/~$ 64.0}
qwen3-next:80b-cloud,+Cluster,52.0,72.0,\makecell{52.0 $~/~$ 72.0}
qwen3-next:80b-cloud,+Judge,8.0,44.0,\makecell{8.0 $~/~$ 44.0}
qwen3-next:80b-cloud,+Cluster+Judge,28.000000000000004,56.00000000000001,\makecell{28.0 $~/~$ 56.0}
gpt-oss:20b-cloud,Base,44.0,92.0,\makecell{44.0 $~/~$ 92.0}
gpt-oss:20b-cloud,+Cluster,80.0,96.0,\makecell{80.0 $~/~$ 96.0}
gpt-oss:20b-cloud,+Judge,36.0,100.0,\makecell{36.0 $~/~$ 100.0}
gpt-oss:20b-cloud,+Cluster+Judge,60.0,92.0,\makecell{60.0 $~/~$ 92.0}
ministral-3:14b-cloud,Base,0.0,16.0,\makecell{0.0 $~/~$ 16.0}
ministral-3:14b-cloud,+Cluster,12.0,64.0,\makecell{12.0 $~/~$ 64.0}
ministral-3:14b-cloud,+Judge,0.0,20.0,\makecell{0.0 $~/~$ 20.0}
ministral-3:14b-cloud,+Cluster+Judge,8.0,48.0,\makecell{8.0 $~/~$ 48.0}
ministral-3:3b-cloud,Base,0.0,0.0,\makecell{0.0 $~/~$ 0.0}
ministral-3:3b-cloud,+Cluster,0.0,8.0,\makecell{0.0 $~/~$ 8.0}
ministral-3:3b-cloud,+Judge,0.0,0.0,\makecell{0.0 $~/~$ 0.0}
ministral-3:3b-cloud,+Cluster+Judge,0.0,0.0,\makecell{0.0 $~/~$ 0.0}
ministral-3:8b-cloud,Base,0.0,0.0,\makecell{0.0 $~/~$ 0.0}
ministral-3:8b-cloud,+Cluster,4.0,32.0,\makecell{4.0 $~/~$ 32.0}
ministral-3:8b-cloud,+Judge,0.0,4.0,\makecell{0.0 $~/~$ 4.0}
ministral-3:8b-cloud,+Cluster+Judge,0.0,16.0,\makecell{0.0 $~/~$ 16.0}
